Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
0,45,1.5,1.333717346,14.06200027,0,0,81.5,127.3526352,36.3643517,0,8.703624162,5.386030024,-1.145551679,-9.778250482,0.429388653,0.220709636,-3.755048616,1012.637312,-0.352987965,-0.099651764,0.120852077,0.008626555,-0.129362611,0.990233007,0.023994056,0.022531258,-0.043812115,-2.881844441,537.3333333,18.65622118,4.295712656,-1.107655416,-68.05263158,3228.315789,-962.358436,-1277.67688,-227.6492263,1,1,1,1,0,-99,2432,1
1,45,1.5,1.333717346,14.06200027,0,0,81.5,127.3526352,36.3643517,0,8.461486936,4.050274932,-0.789272679,-7.471861684,-2.06870593,-4.651711515,-7.164789915,1013.046753,-1.250748423,-1.396887528,-0.169621397,0.003515151,0.01282465,-0.136983755,0.05431815,2.569650972,0.215737421,2.115488267,376,15.85816822,6.130712795,3.860283989,-68.05263158,3228.315789,-953.114975,-1296.382477,-235.8412466,1,1,1,1,0,-99,2432,1
2,45,1.5,1.333717346,14.06200027,0,0,81.5,127.3526352,36.3643517,0,9.379811025,1.111542091,2.005085426,-3.43325119,-7.869554114,-4.560590887,-7.528630972,1013.090503,-0.612669131,-0.045500927,-0.41610552,-0.2268913,0.294097349,0.1269912,0.049365749,2.230490464,0.936788455,1.365054983,912,12.83377271,8.976068258,6.498397171,-68.05263158,3228.315789,-957.5046925,-1298.587029,-227.0717585,1,1,1,1,0,99,2432,1
3,45,1.5,1.333717346,14.06200027,0,0,81.5,127.3526352,36.3643517,0,9.489827847,0.275102172,0.079729348,1.360175598,-4.653686311,-4.007593788,-7.652289438,1013.105298,0.416547184,0.133604774,-0.018676593,-0.716640747,0.448251501,0.309013597,0.0801523,1.378658572,0.521640095,2.111580235,822,9.343908763,4.924837918,4.143947724,-68.05263158,3228.315789,-963.8117424,-1293.225859,-215.3999957,1,1,1,1,0,99,2432,1
4,45,1.5,1.333717346,14.06200027,0,0,81.5,127.3526352,36.3643517,0,9.820956182,0.327776221,-0.070511393,9.800861406,0.324121534,-0.066173522,-7.715199601,1013.112882,-0.001834428,0.004009719,-0.001511281,-0.991763857,-0.01596655,0.00544555,0.126918249,0.006751083,-0.033057654,2.887133455,822,0.017221594,-0.004844985,-0.00625329,-68.05263158,3228.315789,-963.4687309,-1293.993729,-215.7149963,1,1,1,1,0,99,2432,1
5,45,1.5,1.333717346,14.06200027,0,0,81.5,127.3526352,36.3643517,0,9.802041292,0.377217998,0.00706311,9.799584007,0.36491103,-0.013278553,-7.68003335,1013.108643,0.002716518,-0.015904487,0.009667553,-0.991737852,-0.0183732,0.00303365,0.1268653,0.001354163,-0.037219554,2.887142265,822,0.008203697,0.01182811,0.018186817,-68.05263158,3228.315789,-963.6458561,-1293.942325,-214.4964662,1,1,1,1,0,99,2432,1
6,45,1.5,1.333717346,14.06200027,0,0,81.5,127.3526352,36.3643517,0,9.833166885,0.408942135,0.059976584,9.798025656,0.406191047,0.062730818,-7.640927696,1013.103931,-0.000765,-0.000236,0.000779,-0.991653848,-0.0209532,-0.000537,0.1272074,-0.006402302,-0.041431838,2.886297202,822,0.005811501,-0.015684825,-0.009697631,-68.05263158,3228.315789,-964.4682043,-1291.295267,-215.2023459,1,1,1,1,0,99,2432,1
7,45,1.5,1.333717346,14.06200027,0,0,81.5,127.3526352,36.3643517,0,9.826462936,0.409540699,0.070511393,9.798047304,0.402608211,0.078987382,-7.653874779,1013.105493,-0.001712255,-0.006924768,0.003039665,-0.991740298,-0.02087645,-0.0013972,0.1265366,-0.008061418,-0.04106619,2.887616682,822,0.086476803,-0.00049,0.020853876,-68.05263158,3228.315789,-960.7424698,-1290.997475,-215.5274954,1,1,1,1,0,99,2432,1
8,0,1.5,1.757469773,14.12800026,0.071631163,0,81.5,127.35263,36.3643554,0,9.884883308,0.421272647,0.080447633,9.797555447,0.41194707,0.091320376,-7.692452002,1013.110132,-0.001254106,0.011156843,-0.005176472,-0.991809952,-0.02142765,-0.00197465,0.12589005,-0.009320496,-0.042019295,2.888887203,822,0.021126175,0.002382189,-0.018893562,-68.05263158,3228.315789,-960.8540937,-1293.698795,-216.5541122,1,1,1,1,0,99,2432,1
9,0,1.5,1.757469773,14.12800026,0.071631163,0,81.5,127.35263,36.3643554,0,9.833406448,0.399365036,0.066680554,9.797885609,0.40747506,0.072506751,-7.708305645,1013.112036,-0.000552,-0.0017935,-0.001389108,-0.991876799,-0.02107985,-0.0010614,0.125429451,-0.007400181,-0.041562939,2.889859676,822,0.043900585,-0.014933708,-0.00175593,-68.05263158,3228.315789,-961.2035092,-1293.914091,-216.7623515,1,1,1,1,0,99,2432,1
