Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
0,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,8.765972084,3.853452259,0.608278812,9.764415847,-0.605023235,-0.222455769,0.036660671,1009.152832,0.19963781,0.263730833,0.279183223,-0.859822714,0.032836889,-0.005790445,0.508235941,0.022730946,0.061785928,2.074187444,80.0,-1.077587737,4.442114592,0.807190882,-63.59090909,3959.787879,-761.8015231,682.5646034,1789.116896,1,1,1,1,0,99.0,5500.0,1
1,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.423027873,0.60287839,-1.270043075,9.040939808,-2.441510371,-1.248416931,0.040426254,1009.152344,-1.071243843,0.133055,-0.342766872,-0.871366453,0.16260445,0.019060999,0.392807753,0.132432188,0.257015761,2.290141314,80.0,0.22143209,2.973757654,-0.058378208,-63.59090909,3959.787879,-755.0117439,689.258807,1790.456442,1,1,1,1,0,99.0,5500.0,1
2,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.464927459,-0.935802296,0.115523757,8.648411369,-3.426956499,3.0489259,-0.204248428,1009.181689,-0.137078162,-0.044218093,-0.022184797,-0.9682686,0.171136751,-0.17056385,0.05436595,-0.338749342,0.357508552,3.090876853,13.0,0.740856981,2.462303185,-2.957344878,-63.59090909,3959.787879,-733.0012245,661.2562294,1753.443718,1,1,1,1,0,99.0,5500.0,1
3,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.790668631,-0.310417731,0.505551127,9.744002628,-0.528427476,0.731453359,-0.33874054,1009.197778,0.001985312,0.000436,-0.000346,-0.997765452,0.0257012,-0.03835905,0.035505,-0.07520968,0.054003663,3.073576868,13.5,0.050975609,0.221242018,-0.222430542,-63.59090909,3959.787879,-725.7529261,653.6293909,1739.244679,1,1,1,1,0,99.0,5500.0,1
4,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.780612564,-0.311495155,0.511057962,9.788311195,-0.313040452,0.511228895,-0.298842621,1009.192993,0.001802052,0.000406,-0.000743,-0.998871052,0.0150095,-0.0266409,0.0363376,-0.052181096,0.031926666,3.069700575,13.5,-0.009973145,0.002622722,0.001624773,-63.59090909,3959.787879,-725.8658699,653.6788151,1738.884665,1,1,1,1,0,99.0,5500.0,1
5,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.756789541,-0.312812002,0.511776245,9.788209534,-0.313870853,0.512662372,-0.352215958,1009.199365,0.001954769,0.000986,-0.000743,-0.998837352,0.0150266,-0.0267283,0.0371827,-0.052327687,0.032011386,3.068012774,13.5,-0.026751137,0.002016559,-0.001604414,-63.59090909,3959.787879,-725.5574875,653.4824791,1740.359955,1,1,1,1,0,99.0,5500.0,1
6,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.766606092,-0.311375441,0.512015675,9.788282585,-0.31218868,0.512296182,-0.21613884,1009.183105,0.002015855,0.000681,-0.000713,-0.998805749,0.01491775,-0.0267197,0.03807145,-0.052289988,0.031839765,3.066228223,13.5,-0.015930271,0.001890664,0.000677,-63.59090909,3959.787879,-725.5482142,653.4846838,1740.815257,1,1,1,1,0,99.0,5500.0,1
7,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.792583942,-0.312333152,0.517522502,9.788062763,-0.312893984,0.516048446,-0.253395462,1009.187598,0.001143418,0.000892,-0.000886,-0.998770249,0.0149255,-0.0269241,0.03885015,-0.052673457,0.031911723,3.064676547,13.5,0.000331,0.004032534,0.00219233,-63.59090909,3959.787879,-725.5517506,653.4317412,1740.222319,1,1,1,1,0,99.0,5500.0,1
8,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.791027784,-0.314847137,0.518719631,9.788001251,-0.31383941,0.516644904,-0.304654694,1009.193677,0.00046,0.000555,-0.000298,-0.998754346,0.0149626,-0.02696195,0.03921795,-0.052734555,0.032008178,3.06394341,13.5,-0.000565,0.002463967,0.001476154,-63.59090909,3959.787879,-725.4374809,653.6474876,1740.164955,1,1,1,1,0,99.0,5500.0,1
9,45.0,1.5,1.475618124,11.47500038,0.278579146,258.4609375,106.0,127.3653913,36.3742499,0.0,9.785401201,-0.322029965,0.516564794,9.7879004,-0.315800525,0.517354426,-0.317866516,1009.195288,0.000521,0.000128,-0.000329,-0.998740995,0.01505385,-0.0270062,0.03948915,-0.052807385,0.032208259,3.063406587,13.5,1.46e-05,0.000594,0.001963788,-63.59090909,3959.787879,-725.6999871,653.5446885,1739.28703,1,1,1,1,0,99.0,5500.0,1
