Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
0,45,1.5,1.583091378,17.25,0.173615664,262.4544067,81.5,127.3525867,36.3643585,0,9.216690372,-0.565753028,0.693353829,9.121635556,-1.072405499,-0.819277845,-0.026686859,1010.965186,-0.460783597,-0.402693362,-0.867536151,0.802295947,-0.02282385,-0.0728104,0.565366954,0.076882866,0.118090708,-1.890875423,1727.5,0.15534122,0.169763942,1.618247372,-69.66666667,3270.055556,-43.7682338,-0.275294207,22.82823487,1,1,1,1,0,97,2430,1
1,45,1.5,1.583091378,17.25,0.173615664,262.4544067,81.5,127.3525867,36.3643585,0,9.671602614,-2.01119084,1.838239708,8.940958238,-2.676103362,1.103949421,-0.540345001,1011.026733,-0.42229909,0.819250938,0.529970791,0.608056402,-0.140896849,-0.05986255,0.757497749,-0.140587944,0.287286684,-1.317790401,986,0.616388273,0.662398538,0.475553663,-69.66666667,3270.055556,-50.0249989,16.03499973,12.59249965,1,1,1,1,0,98,2431,1
2,45,1.5,1.583091378,17.25,0.173615664,262.4544067,81.5,127.3525867,36.3643585,0,9.82018841,-0.284918703,0.557020999,9.786678123,-0.292436376,0.552788183,-0.614593124,1011.035571,-9.96E-05,-0.001049467,0.001205848,0.541865394,-0.031785,0.00275375,0.83983905,-0.056423769,0.029824663,-1.145146632,986,0.064924669,0.009193666,0.006394696,-69.66666667,3270.055556,-51.83293982,10.51411747,16.88117594,1,1,1,1,0,99,2432,1
3,45,1.5,1.583091378,17.25,0.173615664,262.4544067,81.5,127.3525867,36.3643585,0,9.831640601,-0.282674069,0.556519246,9.786687374,-0.293516387,0.552126437,-0.584735298,1011.032007,5.31E-05,-0.000164,-0.000566,0.556258747,-0.03173525,0.0032364,0.830304495,-0.056356311,0.029934826,-1.179693359,986,0.042888117,-0.032104985,-0.007309207,-69.66666667,3270.055556,-51.75882227,9.056470254,15.27176436,1,1,1,1,0,99,2432,1
4,45,1.5,1.583091378,17.25,0.173615664,262.4544067,81.5,127.3525867,36.3643585,0,9.814555,-0.290552294,0.549133969,9.786739922,-0.288020417,0.554116791,-0.604023933,1011.034326,-0.000558,-0.000836,7.57E-05,0.540401754,-0.03172225,0.0029231,0.840800452,-0.056558747,0.029374143,-1.141653109,986,0.016977501,0.009566255,0.003629522,-69.66666667,3270.055556,-52.1549983,9.956249714,15.42749977,1,1,1,1,0,99,2432,1
5,45,1.5,1.583091378,17.25,0.173615664,262.4544067,81.5,127.3525867,36.3643585,0,9.781035143,-0.288158015,0.557725189,9.786526632,-0.288826145,0.557534578,-0.587377357,1011.032324,-0.000466,0.001424538,0.001114218,0.545004904,-0.0318746,0.0031585,0.837782457,-0.056908093,0.029456331,-1.152659613,986,0.003423691,0.001034311,0.002127159,-69.66666667,3270.055556,-52.07999824,9.783529113,16.48941124,1,1,1,1,0,99,2432,1
6,45,1.5,1.583091378,17.25,0.173615664,262.4544067,81.5,127.3525867,36.3643585,0,9.800963938,-0.296441149,0.560110662,9.786359262,-0.289045443,0.56034832,-0.507845116,1011.022803,-0.000313,-0.000591,0.001266935,0.552445504,-0.0319708,0.0035116,0.832915545,-0.057195648,0.029478702,-1.170446295,986,0.025378895,-0.004253222,-0.003918856,-69.66666667,3270.055556,-51.78705776,10.04470562,16.89882312,1,1,1,1,0,99,2432,1
7,45,1.5,1.583091378,17.25,0.173615664,262.4544067,81.5,127.3525867,36.3643585,0,9.810893059,-0.28083435,0.555612592,9.786860895,-0.289128074,0.551454467,-0.508373451,1011.022852,-0.000191,-0.001110553,-0.00023,0.545714745,-0.03161955,0.0030024,0.83735505,-0.056286888,0.029487134,-1.154324782,986,0.038045692,-0.010515416,-0.001968391,-69.66666667,3270.055556,-52.07249856,10.06874985,16.44374961,1,1,1,1,0,99,2432,1
8,45,1.5,1.502468944,14.18000031,0.633604288,150.7011261,81,127.3526061,36.3643313,0,9.816667557,-0.293228246,0.545049618,9.787068748,-0.293148984,0.54558275,-0.569938278,1011.030273,-0.000619,-0.00108001,0.00087,0.544537902,-0.0314851,0.002623,0.838126802,-0.055687629,0.029897332,-1.151506221,986,0.031732512,-0.001825674,-0.005793492,-69.66666667,3270.055556,-52.04470444,10.0199999,15.91058804,1,1,1,1,0,99,2432,1
9,45,1.5,1.502468944,14.18000031,0.633604288,150.7011261,81,127.3526061,36.3643313,0,9.807248831,-0.289258325,0.55143141,9.786873055,-0.292954892,0.549208236,-0.556727409,1011.028662,-0.001657277,-0.000897,0.000656,0.535380045,-0.0316625,0.00238715,0.844008297,-0.056058028,0.029877531,-1.129722267,986,0.017323065,0.002170217,-0.002236155,-69.66666667,3270.055556,-52.21411649,10.03764691,15.03882324,1,1,1,1,0,99,2432,1
10,45,1.5,1.502468944,14.18000031,0.633604288,150.7011261,81,127.3526061,36.3643313,0,9.778922418,-0.292664887,0.549133967,9.786776066,-0.294370739,0.550211763,-0.527926636,1011.02522,-0.000191,-0.000561,0.000656,0.529281199,-0.03176075,0.0021251,0.847842705,-0.0561608,0.030021972,-1.115301186,986,-0.001973581,-0.004913612,-0.008746512,-69.66666667,3270.055556,-52.01999855,10.22624975,16.36124974,1,1,1,1,0,99,2432,1
11,45,1.5,1.502468944,14.18000031,0.633604288,150.7011261,81,127.3526061,36.3643313,0,9.800893671,-0.30097443,0.557866026,9.786623383,-0.295395012,0.552373254,-0.573109245,1011.03064,-7.94E-06,-0.00108001,0.000778,0.527170703,-0.0318873,0.0020598,0.849157497,-0.056381836,0.030126466,-1.110319221,986,0.008714104,-0.003290769,-1.41E-05,-69.66666667,3270.055556,-51.8929403,10.37999972,16.37294096,1,1,1,1,0,99,2432,1
12,45,1.5,1.502468944,14.18000031,0.633604288,150.7011261,81,127.3526061,36.3643313,0,9.818621755,-0.294944728,0.55711782,9.786669827,-0.29471235,0.551918963,-0.519999313,1011.024219,0.000145,-0.000744,0.000992,0.527134502,-0.0318493,0.0020758,0.849181396,-0.056335299,0.030056822,-1.11023519,986,0.03105402,0.001892544,0.002355662,-69.66666667,3270.055556,-51.98117514,10.26705871,16.41529358,1,1,1,1,0,99,2432,1
13,45,1.5,1.582130313,15.40299988,0.663637757,336.2477722,81.5,127.3525892,36.3643618,0,9.818639194,-0.295481682,0.554626714,9.786711884,-0.291698773,0.55277226,-0.576280212,1011.031006,-0.000833,-0.001049467,0.001022588,0.526762497,-0.03180615,0.0022154,0.849413499,-0.05642197,0.029749385,-1.109365225,986,0.030054235,-0.003275886,-0.001251054,-69.66666667,3270.055556,-52.20374894,10.28999972,15.65249962,1,1,1,1,0,99,2432,1
14,45,1.5,1.582130313,15.40299988,0.663637757,336.2477722,81.5,127.3525892,36.3643618,0,9.801315981,-0.294495798,0.551669082,9.786569643,-0.291959594,0.555151406,-0.576015854,1011.031006,-0.000436,-0.000805,0.001053132,0.526896152,-0.03191605,0.00227315,0.84932625,-0.056665115,0.029775993,-1.109679967,986,0.016190052,0.000576,0.004151195,-69.66666667,3270.055556,-52.34823384,10.23176451,15.2541174,1,1,1,1,0,99,2432,1
15,45,1.5,1.582130313,15.40299988,0.663637757,336.2477722,81.5,127.3525892,36.3643618,0,9.788244367,-0.290305817,0.55053357,9.786579227,-0.293593976,0.554123193,-0.619349289,1011.036157,-0.000588,-0.000897,0.000809,0.527039951,-0.03191505,0.00218005,0.8492374,-0.056560334,0.029942728,-1.110015202,986,-0.000819,-0.004373521,-8.80E-05,-69.66666667,3270.055556,-52.15764618,10.23529378,15.97411717,1,1,1,1,0,99,2432,1
16,45,1.5,1.582130313,15.40299988,0.663637757,336.2477722,81.5,127.3525892,36.3643618,0,9.798217605,-0.297171754,0.553922513,9.786558294,-0.295277835,0.553550923,-0.601117325,1011.034033,-0.000863,-0.000194,0.000564,0.527104852,-0.0319354,0.0020942,0.849196401,-0.056502168,0.030114513,-1.110164773,986,0.001117325,-0.003168519,0.003596827,-69.66666667,3270.055556,-51.86999917,10.02374977,16.76999956,1,1,1,1,0,99,2432,1
17,45,1.5,1.582130313,15.40299988,0.663637757,336.2477722,81.5,127.3525892,36.3643618,0,9.809062116,-0.301678626,0.55237328,9.786572742,-0.297203065,0.552305251,-0.543515968,1011.027051,-0.001076955,-0.001141096,0.001205848,0.527332845,-0.03193265,0.00198575,0.849055347,-0.056375203,0.030310919,-1.110697627,986,0.026601887,-0.00519384,-0.002220619,-69.66666667,3270.055556,-51.91764585,10.18235274,16.60588197,1,1,1,1,0,99,2432,1
18,45,1.5,1.812798023,13.63199997,0.168334365,213.8890533,81.5,127.3525845,36.3643536,0,9.812935293,-0.295992222,0.558763884,9.786442757,-0.295922731,0.555292442,-0.433597183,1011.013892,-0.001168585,-0.000622,0.0009,0.527348998,-0.0320277,0.0021223,0.849041551,-0.056680214,0.030180303,-1.110738939,986,0.027569962,0.002145216,0.000419,-69.66666667,3270.055556,-52.25999922,10.22117626,15.93176427,1,1,1,1,0,99,2432,1
19,45,1.5,1.812798023,13.63199997,0.168334365,213.8890533,81.5,127.3525845,36.3643536,0,9.80075264,-0.29491832,0.551528247,9.786397505,-0.297994341,0.554980072,-0.426198769,1011.013013,-0.000894,-0.000744,0.000564,0.527462748,-0.0320697,0.00202845,0.848969445,-0.056648658,0.030391644,-1.111002809,986,0.01468606,-0.003564572,0.000611,-69.66666667,3270.055556,-52.30499864,10.35374981,14.96624976,1,1,1,1,0,99,2432,1
