Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
0,45.0,1.5,1.402887344,11.47399998,0.294539064,89.38438416,106.0,127.3654411,36.3742575,0.0,2.129348278,9.613492203,0.299404065,2.131376302,9.568534946,0.258597676,-0.776300812,1008.028125,0.009177029,-0.015340659,-8.31e-05,-0.399943399,-0.335077652,0.528247955,0.669858199,-0.120778374,-1.349996275,0.979767787,120.4,-0.055420363,0.046154404,0.051101769,-62.41071429,3906.125,-24.33882298,-22.51411707,-37.4647053,1,1,1,1,0,99.0,5500.0,1
1,45.0,1.5,1.402887344,11.47399998,0.294539064,89.38438416,106.0,127.3654411,36.3742575,0.0,4.835836548,7.64408145,0.691466562,4.744804287,7.974091649,0.524246144,-0.08059082,1008.031689,-0.112171352,-0.094539338,-0.912410318,-0.446081644,-0.274123652,0.401753452,0.732441199,-0.125137977,-1.027979058,1.01046333,384.8333333,0.105757058,-0.327137065,0.170572397,-62.41071429,3906.125,-30.14470504,-14.23764673,-40.13646967,1,1,1,1,0,99.0,5500.0,1
2,45.0,1.5,1.402887344,11.47399998,0.294539064,89.38438416,106.0,127.3654411,36.3742575,0.0,8.685590944,1.191869994,2.589527892,8.939151335,1.990018153,2.741283175,-0.274269104,1008.054858,-0.129275579,-0.007765933,-0.399100259,-0.640024701,-0.171358498,-0.016638301,0.737588152,-0.292677042,-0.206719547,1.410397106,751.0,-0.313177872,-0.794676459,-0.1691138,-62.41071429,3906.125,-25.90941126,-3.451764644,-48.42705783,1,1,1,1,0,99.0,5500.0,1
3,45.0,1.5,1.402887344,11.47399998,0.294539064,89.38438416,106.0,127.3654411,36.3742575,0.0,9.846934009,-0.125340289,-0.536676694,9.795585442,0.142109952,-0.428663254,-0.187602615,1008.044507,-0.009332189,0.16403992,0.044754434,-0.710098502,0.010316,0.0207267,0.703315848,0.043732713,-0.014492643,1.580701673,369.0,0.051348543,-0.267450238,-0.108013445,-62.41071429,3906.125,-40.00874901,-2.954999954,-43.77374959,1,1,1,1,0,99.0,5500.0,1
4,45.0,1.5,1.402887344,11.47399998,0.294539064,89.38438416,106.0,127.3654411,36.3742575,0.0,9.730811596,0.009337672,-0.439109997,9.79722352,0.018360459,-0.429355103,-0.276647186,1008.055151,-0.006583295,-6.9e-05,0.003887546,-0.730380696,0.01426735,0.01663585,0.682685301,0.043796138,-0.001872247,1.63831684,369.0,-0.069165325,-0.008663647,-0.008916898,-62.41071429,3906.125,-39.97058711,-3.035294042,-43.72588124,1,1,1,1,0,99.0,5500.0,1
5,45.0,1.5,1.402887344,11.47399998,0.294539064,89.38438416,106.0,127.3654411,36.3742575,0.0,9.798928785,0.028611584,-0.441504277,9.797009373,0.024320254,-0.434050481,-0.250224304,1008.052002,-0.006552752,-0.003489873,0.002207667,-0.730172101,0.0142145,0.01701415,0.6829014,0.044275432,-0.002479978,1.637729675,369.0,0.001919413,0.00429133,-0.007453796,-62.41071429,3906.125,-39.74823447,-3.074117562,-42.08823417,1,1,1,1,0,99.0,5500.0,1
6,45.0,1.5,1.402887344,11.47399998,0.294539064,89.38438416,106.0,127.3654411,36.3742575,0.0,9.819519615,0.021787901,-0.440187424,9.796990681,0.024308767,-0.434468152,-0.208476639,1008.046997,-0.006766555,-0.003948022,0.001627345,-0.73172735,0.0141906,0.01706185,0.6812336,0.044318065,-0.002478807,1.64229179,369.0,0.02037406,-0.002401152,-0.006078413,-62.41071429,3906.125,-39.56999922,-3.09374994,-41.91374946,1,1,1,1,0,99.0,5500.0,1
7,45.0,1.5,1.402887344,11.47399998,0.294539064,89.38438416,106.0,127.3654411,36.3742575,0.0,9.836638689,0.015921928,-0.436955155,9.797113895,0.02063613,-0.431871125,-0.265549469,1008.053809,-0.006613838,-0.003734219,0.001627345,-0.731203002,0.01425035,0.0168261,0.681797254,0.044052945,-0.002104301,1.640743101,369.0,0.039045954,-0.005193058,-0.005443171,-62.41071429,3906.125,-39.79411653,-2.982352888,-42.31411676,1,1,1,1,0,99.0,5500.0,1
8,45.0,1.5,1.337059975,11.51200008,0.12576054,342.5882263,106.0,127.3654368,36.3742666,0.0,9.842384958,0.015562786,-0.43743401,9.797199965,0.018812355,-0.430005911,-0.349573898,1008.06394,-0.006644381,-0.003886935,0.002024407,-0.731536397,0.01424535,0.0167001,0.681444046,0.043862543,-0.001918328,1.641710234,369.0,0.045184994,-0.003249569,-0.007428099,-62.41071429,3906.125,-39.81176354,-3.215293996,-42.87176379,1,1,1,1,0,99.0,5500.0,1
9,45.0,1.5,1.337059975,11.51200008,0.12576054,342.5882263,106.0,127.3654368,36.3742666,0.0,9.830413532,0.015203645,-0.435159449,9.797262526,0.016449845,-0.428668739,-0.386301041,1008.068311,-0.006858184,-0.003520416,0.001810605,-0.726681846,0.0144042,0.0164661,0.686618295,0.043726041,-0.001677418,1.627511609,369.0,0.033151007,-0.0012462,-0.00649071,-62.41071429,3906.125,-39.93749881,-2.951249942,-43.58624887,1,1,1,1,0,99.0,5500.0,1
10,45.0,1.5,1.337059975,11.51200008,0.12576054,342.5882263,106.0,127.3654368,36.3742666,0.0,9.811139536,0.016400783,-0.437912862,9.797100401,0.017809344,-0.432307222,-0.367541122,1008.066016,-0.005119234,-0.003059335,0.001551995,-0.724800697,0.01452685,0.0166091,0.688604051,0.044097432,-0.001816049,1.622042733,369.0,0.013799715,-0.002485985,-0.006204209,-62.41071429,3906.125,-39.69176393,-3.15529404,-43.37999927,1,1,1,1,0,99.0,5500.0,1
11,45.0,1.5,1.384035707,11.49300003,1.509593606,245.7286072,106.0,127.3653796,36.3742456,0.0,9.805034113,0.014964218,-0.437912865,9.796980619,0.016078905,-0.43508226,-0.319451523,1008.060303,-0.002483167,-0.001487457,0.000753,-0.724769551,0.01468905,0.01665035,0.68863245,0.044380671,-0.001639593,1.621955049,369.0,0.008053493,-0.001114687,-0.002830605,-62.41071429,3906.125,-40.00588114,-3.052941098,-43.63411735,1,1,1,1,0,99.0,5500.0,1
12,45.0,1.5,1.384035707,11.49300003,1.509593606,245.7286072,106.0,127.3653796,36.3742456,0.0,9.8003654,0.014365649,-0.437912865,9.79694376,0.017424662,-0.435854991,-0.279817581,1008.055542,-0.002574797,-0.001365284,0.000784,-0.724723801,0.01466755,0.01672525,0.68867915,0.044459556,-0.001776822,1.62182731,369.0,0.00342164,-0.003059013,-0.002057874,-62.41071429,3906.125,-40.00499892,-3.056249931,-43.30124927,1,1,1,1,0,99.0,5500.0,1
13,45.0,1.5,1.384035707,11.49300003,1.509593606,245.7286072,106.0,127.3653796,36.3742456,0.0,9.797851467,0.013527653,-0.437793152,9.796985626,0.014482057,-0.435025021,-0.247581482,1008.05166,-0.002483167,-0.001395827,0.000814,-0.724812153,0.01474505,0.01659305,0.6885878,0.044374817,-0.001476759,1.622074914,369.0,0.000866,-0.000954,-0.002768131,-62.41071429,3906.125,-40.08705767,-3.10588228,-43.6941167,1,1,1,1,0,99.0,5500.0,1
14,45.0,1.5,1.384035707,11.49300003,1.509593606,245.7286072,106.0,127.3653796,36.3742456,0.0,9.798809147,0.011731947,-0.440905705,9.796841335,0.015494315,-0.43822597,-0.314432144,1008.059717,-0.001745364,-0.001038654,0.000711,-0.72476685,0.01482115,0.0167461,0.688630095,0.044701554,-0.001579981,1.621953642,369.0,0.001967812,-0.003762368,-0.002679735,-62.41071429,3906.125,-39.99176362,-3.197646983,-43.49646983,1,1,1,1,0,99.0,5500.0,1
15,45.0,1.5,1.384035707,11.49300003,1.509593606,245.7286072,106.0,127.3653796,36.3742456,0.0,9.797492313,0.013647367,-0.440905707,9.796817732,0.016340335,-0.438724418,-0.350630188,1008.064038,-0.001001208,-0.000419,0.000338,-0.724731097,0.01480825,0.0167935,0.688666856,0.044752439,-0.001666251,1.621853018,369.0,0.001273155,-0.002573255,-0.002301003,-62.41071429,3906.125,-39.84374905,-3.097499892,-43.37249923,1,1,1,1,0,99.0,5500.0,1
16,45.0,1.5,1.321467996,11.48499966,0.854443192,64.59432983,106.0,127.3654312,36.3742652,0.0,9.798569775,0.015323359,-0.435518588,9.79683218,0.017007563,-0.438376555,-0.353272629,1008.064307,-0.000879,-0.000327,0.000307,-0.724707097,0.01477195,0.01680355,0.688692597,0.044716936,-0.00173429,1.621784043,369.0,0.002216434,-0.001444777,0.002977681,-62.41071429,3906.125,-40.02352816,-3.176470504,-43.77882318,1,1,1,1,0,99.0,5500.0,1
17,45.0,1.5,1.321467996,11.48499966,0.854443192,64.59432983,106.0,127.3654312,36.3742652,0.0,9.79773159,0.018196489,-0.442581697,9.796801949,0.01545609,-0.43911133,-0.368070221,1008.066113,-0.000848,-0.000511,0.000399,-0.724759057,0.01485385,0.01677735,0.688636997,0.044791925,-0.001576083,1.621933103,369.0,0.00093,0.002740398,-0.003470367,-62.41071429,3906.125,-39.93882325,-3.07411759,-43.71176327,1,1,1,1,0,99.0,5500.0,1
18,45.0,1.5,1.321467996,11.48499966,0.854443192,64.59432983,106.0,127.3654312,36.3742652,0.0,9.801442814,0.016281069,-0.44102542,9.79680357,0.016718549,-0.439024682,-0.418272781,1008.072095,-0.000882,-0.000276,0.000237,-0.724717402,0.01480515,0.0168176,0.688680854,0.044783092,-0.001704818,1.621814889,369.0,0.00380125,0.000161,-0.001521882,-62.41071429,3906.125,-39.85874915,-3.01124993,-42.98249912,1,1,1,1,0,99.0,5500.0,1
19,45.0,1.5,1.321467996,11.48499966,0.854443192,64.59432983,106.0,127.3654312,36.3742652,0.0,9.802639914,0.01664021,-0.438511434,9.796835804,0.015600445,-0.438347901,-0.450773239,1008.075977,-0.000437,-0.000316,0.000137,-0.724730197,0.0148224,0.01675355,0.688668492,0.044714001,-0.001590803,1.621847731,369.0,0.00580411,0.001039765,-0.000164,-62.41071429,3906.125,-39.88941058,-3.112941097,-43.72235264,1,1,1,1,0,99.0,5500.0,1
20,45.0,1.5,1.321467996,11.48499966,0.854443192,64.59432983,106.0,127.3654312,36.3742652,0.0,9.806590509,0.016879638,-0.437194584,9.796830225,0.016246158,-0.438445963,-0.357236099,1008.064844,-0.000467,-0.000561,0.000107,-0.72470865,0.0148025,0.0167794,0.688691053,0.044724016,-0.001656648,1.621786934,369.0,0.009760284,0.000633,0.001251379,-62.41071429,3906.125,-39.9141168,-3.127058772,-43.52470488,1,1,1,1,0,99.0,5500.0,1
21,45.0,1.5,1.321467996,11.48499966,0.854443192,64.59432983,106.0,127.3654312,36.3742652,0.0,9.80838623,0.017119065,-0.439349429,9.796825647,0.017080562,-0.438522062,-0.29620018,1008.05752,-0.000223,-0.000255,-1.53e-05,-0.724676993,0.0147751,0.01681085,0.688724199,0.04473179,-0.001741733,1.621697164,369.0,0.011321163,0.000158,-0.001066795,-62.41071429,3906.125,-39.90374923,-3.183749914,-43.61999893,1,1,1,1,0,99.0,5500.0,1
22,45.0,1.5,1.348932028,11.47599983,0.469087213,243.0401154,106.0,127.3654043,36.3742543,0.0,9.811857843,0.016041641,-0.439588858,9.796815109,0.016478362,-0.438777532,-0.324208069,1008.060864,-0.000185,-0.000207,7.5e-05,-0.724705043,0.01480565,0.01679975,0.688694197,0.044757861,-0.001680326,1.621777833,369.0,0.015042734,-0.000437,-0.000811,-62.41071429,3906.125,-39.84352875,-3.141176392,-42.76235221,1,1,1,1,0,99.0,5500.0,1
23,45.0,1.5,1.348932028,11.47599983,0.469087213,243.0401154,106.0,127.3654043,36.3742543,0.0,9.810181856,0.010415095,-0.439828284,9.796806479,0.015562374,-0.439006579,-0.351688004,1008.064185,-0.000123,0.000108,6.72e-05,-0.7246889,0.01484795,0.0167757,0.688710749,0.044781234,-0.001586921,1.621729344,369.0,0.013375378,-0.005147279,-0.000822,-62.41071429,3906.125,-39.95294055,-3.049411704,-43.63411645,1,1,1,1,0,99.0,5500.0,1
24,45.0,1.5,1.348932028,11.47599983,0.469087213,243.0401154,106.0,127.3654043,36.3742543,0.0,9.806710196,0.0156825,-0.440546568,9.796780443,0.014665902,-0.439619741,-0.240976715,1008.050903,-6.17e-05,-0.000167,0.000281,-0.724714804,0.014902,0.01676745,0.688682696,0.044843816,-0.001495506,1.621803969,369.0,0.009929752,0.001016598,-0.000927,-62.41071429,3906.125,-39.97499919,-3.112499937,-43.49999905,1,1,1,1,0,99.0,5500.0,1
