Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
0,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,9.392739969,3.32085918,-0.963625186,6.627783926,-1.487144281,-6.998008502,0.084552002,1018.454858,0.390560969,0.066212905,0.031328223,0.884651843,0.0142146,-0.400532204,0.2298069,0.810676992,0.159684295,-2.701214957,331.0,2.728568625,4.870340157,5.998077798,-99.0,-99.0,-9.935293871,-11.71411727,-23.46352891,0,0,0,1,-99.0,-99.0,-99.0,1
1,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,9.290912993,2.599478231,-0.111263356,5.101490283,5.305423543,-5.761674762,0.056544495,1018.458325,1.214831999,0.526835836,-0.051016414,-0.371805298,-0.163925399,0.226803851,0.233776299,0.829335618,-0.598354267,0.414287066,272.8,4.217745662,-2.686446059,5.615743738,-99.0,-99.0,-14.50941164,3.412941147,-42.7129401,0,0,0,1,-99.0,-99.0,-99.0,1
2,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,9.160794795,3.390293106,-0.42438521,4.848954582,7.914337158,-3.099628925,0.011624908,1018.463672,-0.022231217,-0.047713462,0.083282314,-0.722877848,-0.290790601,0.409279402,0.473266202,0.568338349,-0.941737801,2.277311695,194.8333333,4.440352917,-4.566542363,2.735220313,-99.0,-99.0,-19.57124937,18.9937495,-48.31124902,0,0,0,1,-99.0,-99.0,-99.0,1
3,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,9.122327889,3.931399247,0.071969083,4.282505023,8.51154561,-2.242129821,0.085079956,1018.454858,0.114480424,0.030904892,0.093758654,-0.707425556,-0.35373825,0.395021451,0.466156751,0.47777449,-1.053544492,2.255964708,219.0,4.769290352,-4.527951193,2.345801914,-99.0,-99.0,-15.26470549,18.44117602,-54.51176318,0,0,0,1,-99.0,-99.0,-99.0,1
4,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,8.850225533,4.172939357,0.008450382,4.83776226,8.315116453,-1.880866438,0.075040054,1018.456006,0.044750155,0.013678494,-0.03956269,-0.70307585,-0.334939499,0.375492799,0.502191155,0.37207676,-1.012461182,2.109830797,209.8333333,3.978197026,-4.14069829,1.903492349,-99.0,-99.0,-15.23999972,21.4658818,-55.16117477,0,0,0,1,-99.0,-99.0,-99.0,1
5,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,8.904607296,4.414294466,-0.27429411,5.667156219,7.801880622,-1.726664096,0.089307785,1018.454272,-0.010441519,-0.021629515,-0.032934801,-0.716111702,-0.302516349,0.345057201,0.525366703,0.297100216,-0.920987287,2.024572176,219.0,3.233201146,-3.402759802,1.50770767,-99.0,-99.0,-15.4424997,23.12624955,-56.7599988,0,0,0,1,-99.0,-99.0,-99.0,1
6,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,8.950784964,3.747744266,0.571809149,6.04887135,7.621219921,-1.16201061,0.060242844,1018.457764,0.069856717,0.012120788,-0.017602084,-0.706398058,-0.299171099,0.319239102,0.555826101,0.189881208,-0.89022496,1.899248534,282.5,2.920201755,-3.897284591,1.712095222,-99.0,-99.0,-21.47647016,33.50117549,-58.9058811,0,0,0,1,-99.0,-99.0,-99.0,1
7,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,8.950362654,3.887034788,0.246751153,6.54047668,7.133595586,-1.506432456,0.075568008,1018.45603,-0.215997675,-0.038031249,-0.022458459,-0.758849451,-0.285180151,0.291624549,0.506110549,0.225243515,-0.814906737,2.062088746,192.0,2.340966058,-3.229610765,1.752085036,-99.0,-99.0,-28.95882281,33.76235221,-55.38705803,0,0,0,1,-99.0,-99.0,-99.0,1
8,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,0.0,8.965661228,4.15691001,0.762726149,6.718280959,7.027763176,-0.018069113,-0.084553528,1018.475366,0.651950204,0.449775206,-0.018548931,-0.664787701,-0.28435,0.2709245,0.626732199,0.005359455,-0.801824245,1.63296023,300.3333333,1.954381025,-3.050393879,0.770709397,-99.0,-99.0,-40.36124945,33.4649992,-46.0649991,0,0,0,1,-99.0,-99.0,-99.0,1
9,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,6.5,9.706953357,1.895702291,-2.5799015,7.377632833,6.233736134,-0.126894536,0.085079575,1018.454785,-0.408114793,-0.0019902,-0.318697569,-0.460015351,-0.16618155,0.30112685,0.804219157,0.017289653,-0.69499595,1.04689422,253.0,2.260640144,-4.099479556,-2.392840251,-99.0,-99.0,-50.66470472,33.0988231,-25.10470508,0,0,0,1,-99.0,-99.0,-99.0,1
10,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,8.0,9.554424146,1.826831679,-2.51652367,7.826560116,4.978894162,-3.036398405,0.050730896,1018.458911,-0.262820495,-0.089099579,0.117521323,-0.739631703,-0.108179051,0.295819301,0.591429651,0.369261511,-0.532894695,1.894405234,185.5,1.72815268,-3.202222526,0.484939462,-99.0,-99.0,-48.00705741,21.87882306,-34.33764648,0,0,0,1,-99.0,-99.0,-99.0,1
11,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,9.5,9.206884414,2.182531141,-1.094632512,7.997160387,5.536189151,-0.615066805,0.019551849,1018.46272,0.372296099,0.029469363,0.184044532,-0.653539994,-0.179657498,0.240271901,0.690903252,0.076490293,-0.602785754,1.537915456,161.1666667,1.318244529,-3.315379536,-0.431231274,-99.0,-99.0,-41.22749972,24.47624934,-38.29499936,0,0,0,1,-99.0,-99.0,-99.0,1
